"Metric","Value","Page"
"Display title","Dietmar Friedhoff","Dietmar_Friedhoff"
"Default sort key","Friedhoff, Dietmar","Dietmar_Friedhoff"
"Page length (in bytes)","3,201","Dietmar_Friedhoff"
"Namespace ID","0","Dietmar_Friedhoff"
"Page ID","61706208","Dietmar_Friedhoff"
"Page content language","en - English","Dietmar_Friedhoff"
"Page content model","wikitext","Dietmar_Friedhoff"
"Indexing by robots","Allowed","Dietmar_Friedhoff"
"Number of page watchers","Fewer than 30 watchers","Dietmar_Friedhoff"
"Number of redirects to this page","0","Dietmar_Friedhoff"
"Counted as a content page","Yes","Dietmar_Friedhoff"
"Wikidata item ID","Q40998811","Dietmar_Friedhoff"
"Local description","German politician (born 1966)","Dietmar_Friedhoff"
"Central description","German politician (AfD)","Dietmar_Friedhoff"
"Page views in the past 30 days","43","Dietmar_Friedhoff"
"Display title","Nicole Westig","Nicole_Westig"
"Default sort key","Westig, Nicole","Nicole_Westig"
"Page length (in bytes)","4,149","Nicole_Westig"
"Namespace ID","0","Nicole_Westig"
"Page ID","63390699","Nicole_Westig"
"Page content language","en - English","Nicole_Westig"
"Page content model","wikitext","Nicole_Westig"
"Indexing by robots","Allowed","Nicole_Westig"
"Number of page watchers","Fewer than 30 watchers","Nicole_Westig"
"Number of redirects to this page","0","Nicole_Westig"
"Counted as a content page","Yes","Nicole_Westig"
"Wikidata item ID","Q40998975","Nicole_Westig"
"Local description","German politician","Nicole_Westig"
"Central description","German politician (FDP)","Nicole_Westig"
"Page views in the past 30 days","38","Nicole_Westig"
"Display title","Elisabeth Kaiser","Elisabeth_Kaiser"
"Default sort key","Kaiser, Elisabeth","Elisabeth_Kaiser"
"Page length (in bytes)","5,950","Elisabeth_Kaiser"
"Namespace ID","0","Elisabeth_Kaiser"
"Page ID","63425553","Elisabeth_Kaiser"
"Page content language","en - English","Elisabeth_Kaiser"
"Page content model","wikitext","Elisabeth_Kaiser"
"Indexing by robots","Allowed","Elisabeth_Kaiser"
"Number of page watchers","Fewer than 30 watchers","Elisabeth_Kaiser"
"Number of redirects to this page","0","Elisabeth_Kaiser"
"Counted as a content page","Yes","Elisabeth_Kaiser"
"Wikidata item ID","Q40999425","Elisabeth_Kaiser"
"Local description","German politician","Elisabeth_Kaiser"
"Central description","German politician","Elisabeth_Kaiser"
"Page image","","Elisabeth_Kaiser"
"Page views in the past 30 days","68","Elisabeth_Kaiser"
"Display title","Matthias Seestern-Pauly","Matthias_Seestern-Pauly"
"Default sort key","Seestern-Pauly, Matthias","Matthias_Seestern-Pauly"
"Page length (in bytes)","4,349","Matthias_Seestern-Pauly"
"Namespace ID","0","Matthias_Seestern-Pauly"
"Page ID","63388738","Matthias_Seestern-Pauly"
"Page content language","en - English","Matthias_Seestern-Pauly"
"Page content model","wikitext","Matthias_Seestern-Pauly"
"Indexing by robots","Allowed","Matthias_Seestern-Pauly"
"Number of page watchers","Fewer than 30 watchers","Matthias_Seestern-Pauly"
"Number of redirects to this page","0","Matthias_Seestern-Pauly"
"Counted as a content page","Yes","Matthias_Seestern-Pauly"
"Wikidata item ID","Q40998778","Matthias_Seestern-Pauly"
"Local description","German politician","Matthias_Seestern-Pauly"
"Central description","German politician (FDP)","Matthias_Seestern-Pauly"
"Page image","","Matthias_Seestern-Pauly"
"Page views in the past 30 days","25","Matthias_Seestern-Pauly"
"Display title","Gökay Akbulut","Gökay_Akbulut"
"Default sort key","Akbulut, Gökay","Gökay_Akbulut"
"Page length (in bytes)","9,799","Gökay_Akbulut"
"Namespace ID","0","Gökay_Akbulut"
"Page ID","57257797","Gökay_Akbulut"
"Page content language","en - English","Gökay_Akbulut"
"Page content model","wikitext","Gökay_Akbulut"
"Indexing by robots","Allowed","Gökay_Akbulut"
"Number of page watchers","Fewer than 30 watchers","Gökay_Akbulut"
"Number of redirects to this page","0","Gökay_Akbulut"
"Counted as a content page","Yes","Gökay_Akbulut"
"Wikidata item ID","Q40997638","Gökay_Akbulut"
"Local description","German politician (born 1982)","Gökay_Akbulut"
"Central description","German politician (The Left)","Gökay_Akbulut"
"Page image","","Gökay_Akbulut"
"Page views in the past 30 days","205","Gökay_Akbulut"
"Display title","Jessica Tatti","Jessica_Tatti"
"Default sort key","Tatti, Jessica","Jessica_Tatti"
"Page length (in bytes)","4,419","Jessica_Tatti"
"Namespace ID","0","Jessica_Tatti"
"Page ID","63407295","Jessica_Tatti"
"Page content language","en - English","Jessica_Tatti"
"Page content model","wikitext","Jessica_Tatti"
"Indexing by robots","Allowed","Jessica_Tatti"
"Number of page watchers","Fewer than 30 watchers","Jessica_Tatti"
"Number of redirects to this page","0","Jessica_Tatti"
"Counted as a content page","Yes","Jessica_Tatti"
"Wikidata item ID","Q40997976","Jessica_Tatti"
"Local description","German politician","Jessica_Tatti"
"Central description","German politician","Jessica_Tatti"
"Page image","","Jessica_Tatti"
"Page views in the past 30 days","619","Jessica_Tatti"
"Display title","Jan Nolte","Jan_Nolte"
"Default sort key","Nolte, Jan","Jan_Nolte"
"Page length (in bytes)","2,000","Jan_Nolte"
"Namespace ID","0","Jan_Nolte"
"Page ID","63410659","Jan_Nolte"
"Page content language","en - English","Jan_Nolte"
"Page content model","wikitext","Jan_Nolte"
"Indexing by robots","Allowed","Jan_Nolte"
"Number of page watchers","Fewer than 30 watchers","Jan_Nolte"
"Number of redirects to this page","0","Jan_Nolte"
"Counted as a content page","Yes","Jan_Nolte"
"Wikidata item ID","Q40650476","Jan_Nolte"
"Local description","German politician (born 1988)","Jan_Nolte"
"Central description","German politician","Jan_Nolte"
"Page views in the past 30 days","59","Jan_Nolte"
"Display title","Axel Müller","Axel_Müller"
"Default sort key","Axel Müller","Axel_Müller"
"Page length (in bytes)","327","Axel_Müller"
"Namespace ID","0","Axel_Müller"
"Page ID","63457644","Axel_Müller"
"Page content language","en - English","Axel_Müller"
"Page content model","wikitext","Axel_Müller"
"Indexing by robots","Allowed","Axel_Müller"
"Number of page watchers","Fewer than 30 watchers","Axel_Müller"
"Number of redirects to this page","3","Axel_Müller"
"Counted as a content page","Yes","Axel_Müller"
"Wikidata item ID","Q27869734","Axel_Müller"
"Local description","Topics referred to by the same term","Axel_Müller"
"Central description","Wikimedia disambiguation page","Axel_Müller"
"Page views in the past 30 days","13","Axel_Müller"
"Display title","Claudia Moll","Claudia_Moll"
"Default sort key","Moll, Claudia","Claudia_Moll"
"Page length (in bytes)","3,561","Claudia_Moll"
"Namespace ID","0","Claudia_Moll"
"Page ID","63430519","Claudia_Moll"
"Page content language","en - English","Claudia_Moll"
"Page content model","wikitext","Claudia_Moll"
"Indexing by robots","Allowed","Claudia_Moll"
"Number of page watchers","Fewer than 30 watchers","Claudia_Moll"
"Number of redirects to this page","0","Claudia_Moll"
"Counted as a content page","Yes","Claudia_Moll"
"Wikidata item ID","Q40998854","Claudia_Moll"
"Local description","German politician","Claudia_Moll"
"Central description","German politician (SPD)","Claudia_Moll"
"Page image","","Claudia_Moll"
"Page views in the past 30 days","65","Claudia_Moll"
"Display title","Jörg Schneider","Jörg_Schneider"
"Default sort key","Jörg Schneider","Jörg_Schneider"
"Page length (in bytes)","157","Jörg_Schneider"
"Namespace ID","0","Jörg_Schneider"
"Page ID","71478317","Jörg_Schneider"
"Page content language","en - English","Jörg_Schneider"
"Page content model","wikitext","Jörg_Schneider"
"Indexing by robots","Allowed","Jörg_Schneider"
"Number of page watchers","Fewer than 30 watchers","Jörg_Schneider"
"Number of redirects to this page","2","Jörg_Schneider"
"Counted as a content page","Yes","Jörg_Schneider"
"Wikidata item ID","Q1715507","Jörg_Schneider"
"Local description","Topics referred to by the same term","Jörg_Schneider"
"Central description","Wikimedia disambiguation page","Jörg_Schneider"
"Page views in the past 30 days","21","Jörg_Schneider"
"Display title","Renata Alt","Renata_Alt"
"Default sort key","Alt, Renata","Renata_Alt"
"Page length (in bytes)","4,481","Renata_Alt"
"Namespace ID","0","Renata_Alt"
"Page ID","57347697","Renata_Alt"
"Page content language","en - English","Renata_Alt"
"Page content model","wikitext","Renata_Alt"
"Indexing by robots","Allowed","Renata_Alt"
"Number of page watchers","Fewer than 30 watchers","Renata_Alt"
"Number of redirects to this page","0","Renata_Alt"
"Counted as a content page","Yes","Renata_Alt"
"Wikidata item ID","Q40997592","Renata_Alt"
"Local description","German politician","Renata_Alt"
"Central description","German chemical engineer and politician","Renata_Alt"
"Page image","","Renata_Alt"
"Page views in the past 30 days","110","Renata_Alt"
"Display title","Dirk Spaniel","Dirk_Spaniel"
"Default sort key","Spaniel, Dirk","Dirk_Spaniel"
"Page length (in bytes)","3,690","Dirk_Spaniel"
"Namespace ID","0","Dirk_Spaniel"
"Page ID","63411588","Dirk_Spaniel"
"Page content language","en - English","Dirk_Spaniel"
"Page content model","wikitext","Dirk_Spaniel"
"Indexing by robots","Allowed","Dirk_Spaniel"
"Number of page watchers","Fewer than 30 watchers","Dirk_Spaniel"
"Number of redirects to this page","0","Dirk_Spaniel"
"Counted as a content page","Yes","Dirk_Spaniel"
"Wikidata item ID","Q40983005","Dirk_Spaniel"
"Local description","German politician","Dirk_Spaniel"
"Central description","German politician","Dirk_Spaniel"
"Page image","","Dirk_Spaniel"
"Page views in the past 30 days","228","Dirk_Spaniel"
"Display title","Stephan Pilsinger","Stephan_Pilsinger"
"Default sort key","Pilsinger, Stephan","Stephan_Pilsinger"
"Page length (in bytes)","3,672","Stephan_Pilsinger"
"Namespace ID","0","Stephan_Pilsinger"
"Page ID","63453247","Stephan_Pilsinger"
"Page content language","en - English","Stephan_Pilsinger"
"Page content model","wikitext","Stephan_Pilsinger"
"Indexing by robots","Allowed","Stephan_Pilsinger"
"Number of page watchers","Fewer than 30 watchers","Stephan_Pilsinger"
"Number of redirects to this page","0","Stephan_Pilsinger"
"Counted as a content page","Yes","Stephan_Pilsinger"
"Wikidata item ID","Q40998066","Stephan_Pilsinger"
"Local description","German politician","Stephan_Pilsinger"
"Central description","German politician (CSU)","Stephan_Pilsinger"
"Page image","","Stephan_Pilsinger"
"Page views in the past 30 days","64","Stephan_Pilsinger"
"Display title","Marc Bernhard","Marc_Bernhard"
"Default sort key","Bernhard, Marc","Marc_Bernhard"
"Page length (in bytes)","3,295","Marc_Bernhard"
"Namespace ID","0","Marc_Bernhard"
"Page ID","61689449","Marc_Bernhard"
"Page content language","en - English","Marc_Bernhard"
"Page content model","wikitext","Marc_Bernhard"
"Indexing by robots","Allowed","Marc_Bernhard"
"Number of page watchers","Fewer than 30 watchers","Marc_Bernhard"
"Number of redirects to this page","0","Marc_Bernhard"
"Counted as a content page","Yes","Marc_Bernhard"
"Wikidata item ID","Q40976001","Marc_Bernhard"
"Local description","German politician","Marc_Bernhard"
"Central description","German businessman and politician (AfD)","Marc_Bernhard"
"Page image","","Marc_Bernhard"
"Page views in the past 30 days","69","Marc_Bernhard"
"Display title","Manuela Rottmann","Manuela_Rottmann"
"Default sort key","Rottmann, Manuela","Manuela_Rottmann"
"Page length (in bytes)","7,525","Manuela_Rottmann"
"Namespace ID","0","Manuela_Rottmann"
"Page ID","63393047","Manuela_Rottmann"
"Page content language","en - English","Manuela_Rottmann"
"Page content model","wikitext","Manuela_Rottmann"
"Indexing by robots","Allowed","Manuela_Rottmann"
"Number of page watchers","Fewer than 30 watchers","Manuela_Rottmann"
"Number of redirects to this page","0","Manuela_Rottmann"
"Counted as a content page","Yes","Manuela_Rottmann"
"Wikidata item ID","Q40998264","Manuela_Rottmann"
"Local description","German politician (born 1972)","Manuela_Rottmann"
"Central description","German politician (born 1972)","Manuela_Rottmann"
"Page image","","Manuela_Rottmann"
"Page views in the past 30 days","223","Manuela_Rottmann"
"Display title","Andreas Bleck","Andreas_Bleck"
"Default sort key","Bleck, Andreas","Andreas_Bleck"
"Page length (in bytes)","2,991","Andreas_Bleck"
"Namespace ID","0","Andreas_Bleck"
"Page ID","61689859","Andreas_Bleck"
"Page content language","en - English","Andreas_Bleck"
"Page content model","wikitext","Andreas_Bleck"
"Indexing by robots","Allowed","Andreas_Bleck"
"Number of page watchers","Fewer than 30 watchers","Andreas_Bleck"
"Number of redirects to this page","0","Andreas_Bleck"
"Counted as a content page","Yes","Andreas_Bleck"
"Wikidata item ID","Q40979188","Andreas_Bleck"
"Local description","German politician","Andreas_Bleck"
"Central description","German politician (AfD)","Andreas_Bleck"
"Page views in the past 30 days","44","Andreas_Bleck"
"Display title","Kay Gottschalk","Kay_Gottschalk"
"Default sort key","Gottschalk, Kay","Kay_Gottschalk"
"Page length (in bytes)","4,406","Kay_Gottschalk"
"Namespace ID","0","Kay_Gottschalk"
"Page ID","58801536","Kay_Gottschalk"
"Page content language","en - English","Kay_Gottschalk"
"Page content model","wikitext","Kay_Gottschalk"
"Indexing by robots","Allowed","Kay_Gottschalk"
"Number of page watchers","Fewer than 30 watchers","Kay_Gottschalk"
"Number of redirects to this page","0","Kay_Gottschalk"
"Counted as a content page","Yes","Kay_Gottschalk"
"Wikidata item ID","Q40476219","Kay_Gottschalk"
"Local description","German politician (born 1965)","Kay_Gottschalk"
"Central description","German politician","Kay_Gottschalk"
"Page image","","Kay_Gottschalk"
"Page views in the past 30 days","199","Kay_Gottschalk"
"Display title","Joana Cotar","Joana_Cotar"
"Default sort key","Cotar, Joana","Joana_Cotar"
"Page length (in bytes)","3,742","Joana_Cotar"
"Namespace ID","0","Joana_Cotar"
"Page ID","61697644","Joana_Cotar"
"Page content language","en - English","Joana_Cotar"
"Page content model","wikitext","Joana_Cotar"
"Indexing by robots","Allowed","Joana_Cotar"
"Number of page watchers","Fewer than 30 watchers","Joana_Cotar"
"Number of redirects to this page","0","Joana_Cotar"
"Counted as a content page","Yes","Joana_Cotar"
"Wikidata item ID","Q40896434","Joana_Cotar"
"Local description","German politician (born 1973)","Joana_Cotar"
"Central description","German politician","Joana_Cotar"
"Page views in the past 30 days","1,005","Joana_Cotar"
"Display title","Corinna Miazga","Corinna_Miazga"
"Default sort key","Miazga, Corinna","Corinna_Miazga"
"Page length (in bytes)","4,737","Corinna_Miazga"
"Namespace ID","0","Corinna_Miazga"
"Page ID","63410076","Corinna_Miazga"
"Page content language","en - English","Corinna_Miazga"
"Page content model","wikitext","Corinna_Miazga"
"Indexing by robots","Allowed","Corinna_Miazga"
"Number of page watchers","Fewer than 30 watchers","Corinna_Miazga"
"Number of redirects to this page","0","Corinna_Miazga"
"Counted as a content page","Yes","Corinna_Miazga"
"Wikidata item ID","Q40878850","Corinna_Miazga"
"Local description","German politician (1983–2023)","Corinna_Miazga"
"Central description","German politician (1983–2023)","Corinna_Miazga"
"Page image","","Corinna_Miazga"
"Page views in the past 30 days","208","Corinna_Miazga"
"Display title","Ulrike Schielke-Ziesing","Ulrike_Schielke-Ziesing"
"Default sort key","Schielke-Ziesing, Ulrike","Ulrike_Schielke-Ziesing"
"Page length (in bytes)","2,203","Ulrike_Schielke-Ziesing"
"Namespace ID","0","Ulrike_Schielke-Ziesing"
